11459.791992, 30222.671875
28928.255859, 34452.488281
46396.718750, 38682.304688
18616.000000, 61952.000000
18522.750000, 63078.000000
18429.500000, 64204.000000
17744.000000, 64065.000000
18429.500000, 64204.000000
19115.000000, 64343.000000
19115.000000, 64343.000000
18429.500000, 64204.000000
17744.000000, 64065.000000
18429.500000, 64204.000000
18522.750000, 63078.000000
18616.000000, 61952.000000
18522.750000, 63078.000000
18007.875000, 61414.500000
17493.000000, 59751.000000
17493.000000, 59751.000000
18007.875000, 61414.500000
18522.750000, 63078.000000
18007.875000, 61414.500000
17412.062500, 64520.625000
16816.250000, 67626.750000
14803.000000, 68309.000000
14494.500000, 67770.000000
14186.000000, 67231.000000
14186.000000, 67231.000000
14494.500000, 67770.000000
14803.000000, 68309.000000
14494.500000, 67770.000000
16816.250000, 67626.750000
19138.000000, 67483.500000
19377.000000, 66777.000000
19138.000000, 67483.500000
18899.000000, 68190.000000
18899.000000, 68190.000000
19138.000000, 67483.500000
19377.000000, 66777.000000
19138.000000, 67483.500000
16816.250000, 67626.750000
14494.500000, 67770.000000
16816.250000, 67626.750000
17412.062500, 64520.625000
18007.875000, 61414.500000
17412.062500, 64520.625000
21282.406250, 64328.687500
25152.750000, 64136.750000
28181.000000, 64757.000000
27141.000000, 64509.000000
26101.000000, 64261.000000
26101.000000, 64261.000000
27141.000000, 64509.000000
28181.000000, 64757.000000
27141.000000, 64509.000000
25152.750000, 64136.750000
23164.500000, 63764.500000
23722.000000, 62268.000000
24034.000000, 62084.000000
24346.000000, 61900.000000
24346.000000, 61900.000000
24034.000000, 62084.000000
23722.000000, 62268.000000
24034.000000, 62084.000000
23164.500000, 63764.500000
22295.000000, 65445.000000
22295.000000, 65445.000000
23164.500000, 63764.500000
24034.000000, 62084.000000
23164.500000, 63764.500000
25152.750000, 64136.750000
27141.000000, 64509.000000
25152.750000, 64136.750000
21282.406250, 64328.687500
17412.062500, 64520.625000
21282.406250, 64328.687500
22040.703125, 60738.593750
22799.000000, 57148.500000
24284.000000, 56762.000000
22799.000000, 57148.500000
21314.000000, 57535.000000
21314.000000, 57535.000000
22799.000000, 57148.500000
24284.000000, 56762.000000
22799.000000, 57148.500000
22040.703125, 60738.593750
21282.406250, 64328.687500
22040.703125, 60738.593750
21320.273438, 56301.570313
20599.843750, 51864.546875
26208.000000, 51579.000000
20599.843750, 51864.546875
14991.687500, 52150.093750
16846.000000, 53625.000000
16720.000000, 55300.500000
16594.000000, 56976.000000
16594.000000, 56976.000000
16720.000000, 55300.500000
16846.000000, 53625.000000
16720.000000, 55300.500000
14497.000000, 56726.250000
12274.000000, 58152.000000
12274.000000, 58152.000000
14497.000000, 56726.250000
16720.000000, 55300.500000
14497.000000, 56726.250000
14991.687500, 52150.093750
15486.375000, 47573.937500
18801.000000, 45185.000000
18419.000000, 45738.000000
18037.000000, 46291.000000
18037.000000, 46291.000000
18419.000000, 45738.000000
18801.000000, 45185.000000
18419.000000, 45738.000000
18572.750000, 47656.250000
18726.500000, 49574.500000
19553.000000, 49180.000000
18726.500000, 49574.500000
17900.000000, 49969.000000
17900.000000, 49969.000000
18726.500000, 49574.500000
19553.000000, 49180.000000
18726.500000, 49574.500000
18572.750000, 47656.250000
18419.000000, 45738.000000
18572.750000, 47656.250000
15486.375000, 47573.937500
12400.000000, 47491.625000
14687.000000, 52123.000000
14570.000000, 51134.500000
14453.000000, 50146.000000
14453.000000, 50146.000000
14570.000000, 51134.500000
14687.000000, 52123.000000
14570.000000, 51134.500000
12820.000000, 50442.250000
11070.000000, 49750.000000
11369.000000, 49912.000000
11070.000000, 49750.000000
10771.000000, 49588.000000
10771.000000, 49588.000000
11070.000000, 49750.000000
11369.000000, 49912.000000
11070.000000, 49750.000000
12820.000000, 50442.250000
14570.000000, 51134.500000
12820.000000, 50442.250000
12400.000000, 47491.625000
11980.000000, 44541.000000
11262.000000, 43646.000000
11980.000000, 44541.000000
12698.000000, 45436.000000
12698.000000, 45436.000000
11980.000000, 44541.000000
11262.000000, 43646.000000
11980.000000, 44541.000000
12400.000000, 47491.625000
12820.000000, 50442.250000
12400.000000, 47491.625000
15486.375000, 47573.937500
18572.750000, 47656.250000
15486.375000, 47573.937500
14991.687500, 52150.093750
14497.000000, 56726.250000
14991.687500, 52150.093750
20599.843750, 51864.546875
26208.000000, 51579.000000
20599.843750, 51864.546875
21320.273438, 56301.570313
22040.703125, 60738.593750
21320.273438, 56301.570313
21565.949219, 46449.128906
21811.625000, 36596.687500
7540.000000, 32712.000000
6713.500000, 35015.000000
5887.000000, 37318.000000
5887.000000, 37318.000000
6713.500000, 35015.000000
7540.000000, 32712.000000
6713.500000, 35015.000000
9311.750000, 35769.500000
11910.000000, 36524.000000
11910.000000, 36524.000000
9311.750000, 35769.500000
6713.500000, 35015.000000
9311.750000, 35769.500000
13864.875000, 36947.250000
18418.000000, 38125.000000
18734.000000, 35167.000000
18665.000000, 35691.500000
18596.000000, 36216.000000
18596.000000, 36216.000000
18665.000000, 35691.500000
18734.000000, 35167.000000
18665.000000, 35691.500000
18418.000000, 38125.000000
18171.000000, 40558.500000
18373.000000, 40844.000000
18171.000000, 40558.500000
17969.000000, 40273.000000
17969.000000, 40273.000000
18171.000000, 40558.500000
18373.000000, 40844.000000
18171.000000, 40558.500000
18418.000000, 38125.000000
18665.000000, 35691.500000
18418.000000, 38125.000000
13864.875000, 36947.250000
9311.750000, 35769.500000
13864.875000, 36947.250000
21811.625000, 36596.687500
29758.375000, 36246.125000
29322.000000, 41420.000000
29758.375000, 36246.125000
